SU,Class,Count,Weight
2873,Bone,,0.002
2874,Bone,,0.004
2875,Bone,,0.602
2879,Bone,,0.006
2880,Bone,,0.036
2881,Bone,,0.017
2885,Bone,,0.013
2886,Bone,,0.007
2887,Bone,,0.04
2888,Bone,,0.037
2889,Bone,,0.087
2890,Bone,,0.008
2891,Bone,,0.007
2892,Bone,,0.004
2893,Bone,,0.014
2894,Bone,,0.004
2895,Bone,,0.04
2897,Bone,,0.005
2898,Bone,,0.039
2899,Bone,,0.006
2901,Bone,,0.078
2903,Bone,,0.002
2905,Bone,,0.108
2906,Bone,,0.033
2907,Bone,,0.002
2908,Bone,,0.038
2910,Bone,,0.004
2928,Bone,,0.002
2930,Bone,,0.002
2931,Bone,,0.053
2939,Bone,,0.004
2941,Bone,,0.007
2944,Bone,,0.231
2945,Bone,,0.045
2947,Bone,,0.023
3012,Bone,128,
3021,Bone,10,
3022,Bone,1,
3025,Bone,,
3028,Bone,30,
3031,Bone,,
3039,Bone,,
3040,Bone,,
3041,Bone,,
3042,Bone,56,0.236
3047,Bone,6,
3048,Bone,,
3052,Bone,,
3055,Bone,,
3059,Bone,,
3062,Bone,1,
3101,Bone,1,
3102,Bone,33,0.148
3103,Bone,,0.032
3105,Bone,5,0.046
3106,Bone,,0.158
3107,Bone,,0.164
3108,Bone,3,0.01
3109,Bone,57,0.28
3110,Bone,50,0.79
3111,Bone,,
3112,Bone,,0.038
3113,Bone,,0.07
3114,Bone,14,0.07
3115,Bone,1,0.026
3116,Bone,,0.16
3117,Bone,,0.024
3118,Bone,225,1.774
3119,Bone,1,0.192
3123,Bone,8,0.032
3124,Bone,,0.784
3126,Bone,,0.214
3128,Bone,,0.022
3129,Bone,,0.01
3130,Bone,1,0.001
3131,Bone,,0.412
3132,Bone,,0.014
3134,Bone,,0.552
3135,Bone,,0.024
3136,Bone,1,0.1
3137,Bone,,0.844
3139,Bone,,0.46
3141,Bone,4,0.008
3142,Bone,6,0.006
3143,Bone,,0.09
3144,Bone,6,0.01
3145,Bone,,0.032
3146,Bone,,0.03
3148,Bone,,0.1
3150,Bone,,0.026
3151,Bone,,0.146
3153,Bone,,0.042
