SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_END
2007,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,-700,-600
2042,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,-700,-600
2060,Bucchero,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,-700,-600
2062,Impasto Rosso,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,-700,-600
2114,Painted Fineware,NULL,NULL,2,1,NULL,NULL,3,NULL,NULL,NULL,-700,-600
2181,Italo Geometric,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,-700,-600
2416,Buccheroid Impasto,NULL,NULL,2,2,5,8,17,0.07,1,4,-700,-600
3004,White On Red,NULL,NULL,2,NULL,1,8,11,NULL,NULL,NULL,-700,-600
3040,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,NULL,-700,-600
3041,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,-700,-600
3155,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,0.028,3,4,-700,-600
3165,Bucchero,NULL,NULL,NULL,NULL,NULL,1,1,0.001,NULL,2,-700,-600
3259,White On Red,NULL,NULL,2,NULL,1,9,12,0.508,2,11,-700,-600
3318,Impasto Rosso,NULL,NULL,NULL,3,2,52,57,0.902,2,7,-700,-600
3351,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,2,2,0.006,2,2,-700,-600
3431,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.01,5,5,-700,-600
3439,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,3,4,0.024,2,4,-700,-600
3447,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,NULL,1,0.001,2,2,-700,-600
3454,Buccheroid Impasto,NULL,NULL,1,NULL,NULL,4,5,0.024,2,3,-700,-600
3466,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.001,2,2,-700,-600
3475,Buccheroid Impasto,NULL,NULL,NULL,1,NULL,1,2,0.032,4,5,-700,-600
3479,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,10,10,0.024,1,4,-700,-600
3481,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,0.001,3,3,-700,-600
3482,Buccheroid Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,-700,-600
3485,Buccheroid Impasto,NULL,NULL,4,1,NULL,16,21,0.07,2,5,-700,-600
