SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX
390,Black Gloss,NULL,NULL,42,5,16,87,150,0.557,2,7,220,BC,190,BC
390,Black Gloss,NULL,NULL,42,5,16,87,150,0.557,2,7,300,BC,250,BC
390,Black Gloss,NULL,NULL,42,5,16,87,150,0.557,2,7,300,BC,270,BC
390,Impasto,NULL,NULL,90,1,5,382,477,NULL,NULL,NULL,900,BC,500,BC
392,Black Gloss,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,400,BC,50,BC
392,Bucchero,NULL,NULL,2,NULL,NULL,1,3,NULL,NULL,NULL,675,BC,450,BC
392,Impasto,NULL,NULL,NULL,NULL,NULL,40,40,NULL,NULL,NULL,900,BC,500,BC
395,Black Gloss,NULL,NULL,3,NULL,NULL,3,6,NULL,NULL,NULL,400,BC,50,BC
395,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,610,BC,300,BC
395,Impasto Rosso,NULL,NULL,NULL,1,1,11,13,NULL,NULL,NULL,730,BC,500,BC
395,Thin Walled,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,200,BC,50,BC
397,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,305,BC,265,BC
397,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,675,BC,450,BC
397,Impasto,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,900,BC,500,BC
398,Black Gloss,NULL,NULL,NULL,NULL,NULL,6,6,0.007,2,2,400,BC,50,BC
398,Bucchero,NULL,NULL,NULL,NULL,NULL,3,3,0.023,1,2,675,BC,450,BC
398,Impasto,there seems to be a transitional impasto-commonware phase represented in this material. it is characterized by wheelmade pottery of the same coarseness as commonware (thus finer than impasto grezzo) which appears on ollae in the similar way as intern,NULL,1,1,NULL,42,44,0.813,3,5,900,BC,500,BC
398,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,31,32,0.458,4,7,500,BC,400,BC
398,Impasto Rosso,NULL,NULL,2,NULL,1,14,17,0.436,4,8,800,BC,500,BC
398,Terra Sigillata,this is small a ring foot base with only one surface remaining of red gloss. it is heavily worn. ,NULL,NULL,NULL,1,NULL,1,0.015,3,3,50,BC,180,AD
401,Impasto,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,900,BC,500,BC
403,Bucchero,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,450,BC,400,BC
403,Impasto,NULL,NULL,NULL,1,NULL,2,3,NULL,NULL,NULL,900,BC,500,BC
403,Impasto Rosso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,800,BC,500,BC
405,Internal Red Slip Ware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,12,BC,8,BC
409,Impasto,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,NULL,900,BC,500,BC
409,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,500,BC,400,BC
412,Impasto,NULL,NULL,NULL,NULL,NULL,9,9,NULL,NULL,NULL,900,BC,500,BC
412,Impasto Chiaro Sabbioso,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,500,BC,400,BC
414,Black Gloss,NULL,NULL,19,2,9,33,63,NULL,NULL,NULL,400,BC,50,BC
414,Impasto,NULL,NULL,167,1,20,921,1118,NULL,NULL,NULL,900,BC,500,BC
414,Impasto Chiaro Sabbioso,NULL,NULL,14,4,7,174,199,NULL,NULL,NULL,300,BC,200,BC
414,Terra Sigillata,NULL,NULL,5,NULL,2,9,16,NULL,NULL,NULL,50,BC,180,AD
415,Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,400,BC,50,BC
